Complaint Number,Major Crime Head,Crime Head and Section,Minor Crime Head,Commits,Month
535036542,CHEATING ,Sec.417 to 420 IPC,Others,517,Sep-21
820059652,COUNTERFEITING ,"Sec. 231 to 263 (A), 489(A)
to 489 (E) IPC ",Others,0,Sep-21
784839153,COUNTERFEITING ,"Sec. 231 to 263 (A), 489(A)
to 489 (E) IPC ","Stock Share, Debentrue Certificate",0,Sep-21
829643410,COUNTERFEITING ,"Sec. 231 to 263 (A), 489(A)
to 489 (E) IPC ",Usage of Counterfeit Stamp,0,Sep-21
482366126,COUNTERFEITING ,"Sec. 231 to 263 (A), 489(A)
to 489 (E) IPC ",Of Coins (Sec 231 to 254 IPC),0,Sep-21
857835360,COUNTERFEITING ,"Sec. 231 to 263 (A), 489(A)
to 489 (E) IPC ",Of Stamps (Sec.255 to 263(A) IPC),0,Sep-21
381621442,COUNTERFEITING ,"Sec. 231 to 263 (A), 489(A)
to 489 (E) IPC ","Of Currency Notes And Bank Notes (Sec. 489 (A) to489 (E) IPC)",2,Sep-21
973946552,FORGERY ,"Sec. 465, 468, 471, 473, 476, 477 &
477(A) IPC",Others,nan,Sep-21
658676173,FORGERY ,"Sec. 465, 468, 471, 473, 476, 477 &
477(A) IPC",Forgery,32,Sep-21
579336422,FORGERY ,"Sec. 465, 468, 471, 473, 476, 477 &
477(A) IPC",Organised (Racket),0,Sep-21
526458596,FORGERY ,"Sec. 465, 468, 471, 473, 476, 477 &
477(A) IPC",Forgery of Passport,0,Sep-21
679582822,FORGERY ,"Sec. 465, 468, 471, 473, 476, 477 &
477(A) IPC",Other Forgery,18,Sep-21
241185126,CASES OF HURT ,"Sec. 323 to 335 IPC except
328, 332, 333",Others,nan,Sep-21
316947706,CASES OF HURT ,"Sec. 323 to 335 IPC except
328, 332, 333",Acid Attack (326(a)),1,Sep-21
779253509,CASES OF HURT ,"Sec. 323 to 335 IPC except
328, 332, 333",Attempt to Acid Attack (326(b)),0,Sep-21
900864749,CASES OF HURT ,"Sec. 323 to 335 IPC except
328, 332, 333",Grievous Hurt,66,Sep-21
397249819,CASES OF HURT ,"Sec. 323 to 335 IPC except
328, 332, 333",Simple Hurt,994,Sep-21
201571585,CASES OF HURT ,"Sec. 323 to 335 IPC except
328, 332, 333",Custodial,0,Sep-21
165998842,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Others,0,Sep-21
517577004,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Attempt to Commit,0,Sep-21
623868804,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Alcoholic Drink (Liquor),1,Sep-21
740589121,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Cement & Chemical/Fertiliser,0,Sep-21
227203642,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Cosmetics,0,Sep-21
450890384,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Diesel,0,Sep-21
744014598,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Drug/Medicine,0,Sep-21
907561313,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Edible Oil,0,Sep-21
594550565,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Food Grain,0,Sep-21
410822674,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Kerosene,0,Sep-21
842674590,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Life Saving Drug,0,Sep-21
179139897,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Mobile Oil,0,Sep-21
134139613,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Petrol,0,Sep-21
759987913,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Petroleum Product,0,Sep-21
854231045,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Soft Drinks,0,Sep-21
969890652,ADULTERATION ,"Sec. 272, 273 to 276 IPC",Spices,0,Sep-21
213182880,AFFRAY ,Sec. 160 IPC ,Others,44,Sep-21
445669686,ARSON ,"Sec. 435, 436, 438 IPC ",Others,7,Sep-21
118310795,ARSON ,"Sec. 435, 436, 438 IPC ",Agricultural Produce,0,Sep-21
699027380,ARSON ,"Sec. 435, 436, 438 IPC ",Attemp to Commit,1,Sep-21
159800305,ARSON ,"Sec. 435, 436, 438 IPC ",Boat / Ship,0,Sep-21
980018358,ARSON ,"Sec. 435, 436, 438 IPC ",Dwelling House,1,Sep-21
581569783,ARSON ,"Sec. 435, 436, 438 IPC ",Educational Institution,0,Sep-21
621872740,ARSON ,"Sec. 435, 436, 438 IPC ",Govt. Property,0,Sep-21
576240559,ARSON ,"Sec. 435, 436, 438 IPC ",Industrial Establishment,0,Sep-21
700321216,ARSON ,"Sec. 435, 436, 438 IPC ",Place of worship,0,Sep-21
999016368,ARSON ,"Sec. 435, 436, 438 IPC ",Public Place,1,Sep-21
595569755,ARSON ,"Sec. 435, 436, 438 IPC ",Railway Property,0,Sep-21
649893352,ARSON ,"Sec. 435, 436, 438 IPC ",Vital Installation,0,Sep-21
562986281,ARSON ,"Sec. 435, 436, 438 IPC ",Warehouse (Godown),0,Sep-21
358100748,ASSAULT ,"Sec 356, 357 IPC",Others,nan,Sep-21
104494619,ASSAULT ,"Sec 356, 357 IPC",Attempt To Commit,0,Sep-21
120034402,ASSAULT ,"Sec 356, 357 IPC",On Contractor,0,Sep-21
706073239,ASSAULT ,"Sec 356, 357 IPC",On Domestic Servant,0,Sep-21
966771228,ASSAULT ,"Sec 356, 357 IPC",On Labourer,0,Sep-21
682461564,ASSAULT ,"Sec 356, 357 IPC",On Man (General),0,Sep-21
638866289,ASSAULT ,"Sec 356, 357 IPC",On Man (SC),0,Sep-21
527192219,ASSAULT ,"Sec 356, 357 IPC",On Man (ST),0,Sep-21
837687280,ASSAULT ,"Sec 356, 357 IPC",On Manager/Executive (Other Than Public Servant),0,Sep-21
248169922,ASSAULT ,"Sec 356, 357 IPC","On Member of Clergy (Christian, Budhist, Jain,Sikh)",0,Sep-21
868349469,ASSAULT ,"Sec 356, 357 IPC","Member of Legislative Assembly / Council(MLA/MLC)",0,Sep-21
568762113,ASSAULT ,"Sec 356, 357 IPC",On Member of Parliament (MP),0,Sep-21
640416480,ASSAULT ,"Sec 356, 357 IPC",On other Dignitaries /Public Figures,0,Sep-21
307642526,ASSAULT ,"Sec 356, 357 IPC",On Press,0,Sep-21
458174557,ASSAULT ,"Sec 356, 357 IPC",On Professional,0,Sep-21
838393733,ASSAULT ,"Sec 356, 357 IPC",On Public Servant,0,Sep-21
256437349,ASSAULT ,"Sec 356, 357 IPC",On Student,0,Sep-21
152509875,ASSAULT ,"Sec 356, 357 IPC",On Teacher,0,Sep-21
313605261,ASSAULT ,"Sec 356, 357 IPC",On Women (General),0,Sep-21
254860209,ASSAULT ,"Sec 356, 357 IPC",On Woman (SC),0,Sep-21
643596596,ASSAULT ,"Sec 356, 357 IPC",On Woman (ST),0,Sep-21
521845626,COMMUNAL / RELIGION ,Sec. 295 to 297 IPC,Others,2,Sep-21
336641617,COMMUNAL / RELIGION ,Sec. 295 to 297 IPC,Attempt to Commit,0,Sep-21
430084701,COMMUNAL / RELIGION ,Sec. 295 to 297 IPC,Caste Issue,1,Sep-21
935960357,COMMUNAL / RELIGION ,Sec. 295 to 297 IPC,Communal Issue,5,Sep-21
307640335,COMMUNAL / RELIGION ,Sec. 295 to 297 IPC,Linguistic Issue,0,Sep-21
163111235,COMMUNAL / RELIGION ,Sec. 295 to 297 IPC,Political Issue,0,Sep-21
564692071,COMMUNAL / RELIGION ,Sec. 295 to 297 IPC,Racial/Ethnic Issue,0,Sep-21
448011466,COMMUNAL / RELIGION ,Sec. 295 to 297 IPC,Regional Issue,3,Sep-21
930250505,COMMUNAL / RELIGION ,Sec. 295 to 297 IPC,Religious Issue,7,Sep-21
204929804,COMMUNAL / RELIGION ,Sec. 295 to 297 IPC,Sectarian Issue,0,Sep-21
990802798,CRIMINAL CONSPIRACY ,"Sec. 120(B), 121(A) IPC",Others,2,Sep-21
997748193,CRIMINAL CONSPIRACY ,"Sec. 120(B), 121(A) IPC",Conspiracy To Wage War,0,Sep-21
370815996,CRIMINAL CONSPIRACY ,"Sec. 120(B), 121(A) IPC",Related to Substantive Offence,1,Sep-21
281681612,CRIMINAL INTIMIDATION ,Sec. 504 to 508 IPC,Others,168,Sep-21
564102214,CRIMINAL MISAPPROPRIATION ,"Sec. 403, 404
IPC",Others,2,Sep-21
594904669,CRIMINAL MISAPPROPRIATION ,"Sec. 403, 404
IPC",Attempt to Commit,0,Sep-21
660952907,CRIMINAL MISAPPROPRIATION ,"Sec. 403, 404
IPC",Bank,0,Sep-21
686737915,CRIMINAL MISAPPROPRIATION ,"Sec. 403, 404
IPC",Business Establishment,0,Sep-21
424413921,CRIMINAL MISAPPROPRIATION ,"Sec. 403, 404
IPC",Charitable Organisation,0,Sep-21
540613195,CRIMINAL MISAPPROPRIATION ,"Sec. 403, 404
IPC",Chitfund Organisation,0,Sep-21
954630969,CRIMINAL MISAPPROPRIATION ,"Sec. 403, 404
IPC",Co-operative Organisation,0,Sep-21
445704670,CRIMINAL MISAPPROPRIATION ,"Sec. 403, 404
IPC",Commercial Establishment/Shop,0,Sep-21
247124740,CRIMINAL MISAPPROPRIATION ,"Sec. 403, 404
IPC",Customs Department,0,Sep-21
322525822,CRIMINAL MISAPPROPRIATION ,"Sec. 403, 404
IPC",Excise Department,0,Sep-21
817299719,CRIMINAL MISAPPROPRIATION ,"Sec. 403, 404
IPC",Financial Institution,0,Sep-21
223842284,CRIMINAL MISAPPROPRIATION ,"Sec. 403, 404
IPC",Income Tax Department,0,Sep-21
235583254,CRIMINAL MISAPPROPRIATION ,"Sec. 403, 404
IPC",Other Government Organisation,0,Sep-21
438169439,CRIMINAL MISAPPROPRIATION ,"Sec. 403, 404
IPC",Postal Department,0,Sep-21
785565278,CRIMINAL MISAPPROPRIATION ,"Sec. 403, 404
IPC",Public Sector Undertakings,0,Sep-21
761776993,CRIMINAL MISAPPROPRIATION ,"Sec. 403, 404
IPC",Railway Department,0,Sep-21
454305571,CRIMINAL MISAPPROPRIATION ,"Sec. 403, 404
IPC",Revenue Department,0,Sep-21
330385886,CRIMINAL MISAPPROPRIATION ,"Sec. 403, 404
IPC",Sales Tax Department,0,Sep-21
724267169,CRIMINAL MISAPPROPRIATION ,"Sec. 403, 404
IPC",Social Organisation (Aided) (N),0,Sep-21
472968111,CRIMINAL MISAPPROPRIATION ,"Sec. 403, 404
IPC",Transport Authority,0,Sep-21
456696459,CRIMINAL MISAPPROPRIATION ,"Sec. 403, 404
IPC",Trust - Other than religious,0,Sep-21
171609527,CRIMINAL MISAPPROPRIATION ,"Sec. 403, 404
IPC",Trust - Religious,0,Sep-21
725655013,CRIMINAL TRESPASS ,Sec.447 to 452 IPC,Others,12,Sep-21
767761327,CRIMINAL TRESPASS ,Sec.447 to 452 IPC,Attempt to Commit,0,Sep-21
737924311,CRIMINAL TRESPASS ,Sec.447 to 452 IPC,Club,0,Sep-21
237242131,CRIMINAL TRESPASS ,Sec.447 to 452 IPC,Hostel,0,Sep-21
664668054,CRIMINAL TRESPASS ,Sec.447 to 452 IPC,Hotel,0,Sep-21
762910887,CRIMINAL TRESPASS ,Sec.447 to 452 IPC,House,37,Sep-21
337650718,CRIMINAL TRESPASS ,Sec.447 to 452 IPC,Land,91,Sep-21
728675365,CRIMINAL TRESPASS ,Sec.447 to 452 IPC,Office,4,Sep-21
455140115,CRIMINAL TRESPASS ,Sec.447 to 452 IPC,Prohibited Places,0,Sep-21
523906344,CRIMINAL TRESPASS ,Sec.447 to 452 IPC,Religious Place,0,Sep-21
410818310,CRIMINAL TRESPASS ,Sec.447 to 452 IPC,Restricted Area,2,Sep-21
706897427,CRUELTY BY HUSBAND ,Sec. 498(A) IPC,Others,nan,Sep-21
877704170,CRUELTY BY HUSBAND ,Sec. 498(A) IPC,Husband,79,Sep-21
505200844,CRUELTY BY HUSBAND ,Sec. 498(A) IPC,Husband And Relative(S) in Law,122,Sep-21
934090666,CRUELTY BY HUSBAND ,Sec. 498(A) IPC,Relative(S) in Law,4,Sep-21
981788202,CRUELTY BY HUSBAND ,Sec. 498(A) IPC,Dowry Harassment,50,Sep-21
683429576,DOWRY DEATHS ,Sec.304(B) IPC,Others,0,Sep-21
154520849,DOWRY DEATHS ,Sec.304(B) IPC,By Husband,2,Sep-21
588706157,DOWRY DEATHS ,Sec.304(B) IPC,By Husband And Relatives In Law,3,Sep-21
603617382,DOWRY DEATHS ,Sec.304(B) IPC,By Relatives in Law,0,Sep-21
516969009,DOWRY DEATHS ,Sec.304(B) IPC,By Burning,0,Sep-21
404583505,DOWRY DEATHS ,Sec.304(B) IPC,By Hanging,3,Sep-21
946348414,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Others,3,Sep-21
336930830,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Adulterated Food/Drug,0,Sep-21
547513628,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Accident by Air,0,Sep-21
101307451,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Boad Accident,0,Sep-21
280666810,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Bridge/Dam Collapse,0,Sep-21
398374840,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Building Collapse,0,Sep-21
700636921,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Caused By Animal,1,Sep-21
957734730,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Death Due to Other Cause,8,Sep-21
581235583,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Electrocution Accident,6,Sep-21
384436857,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Explosion Accident,0,Sep-21
903109993,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Fire accident,0,Sep-21
643501955,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Gas Leakage Accident,0,Sep-21
372402124,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Improper Infrastucture In Construction,10,Sep-21
195523249,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Improper Medical Treatment,0,Sep-21
935727184,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,In Custody of Public Servant,0,Sep-21
813399647,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,In Jail/Judicial Custody,0,Sep-21
403888467,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,In Police Custody,0,Sep-21
706626193,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Industrial Accident (Factory),2,Sep-21
530227416,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Inflammable Substance,0,Sep-21
110864054,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Mine Accident,0,Sep-21
902901873,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Poisonous Substance,0,Sep-21
298704687,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Quarry Accident,0,Sep-21
588340896,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Spurious Liquor (Hooch) Accident,0,Sep-21
221047618,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Railway Accident,0,Sep-21
283671888,"MOTOR VEHICLE ACCIDENTS FATAL
",Sec.304(A) IPC,Others,nan,Sep-21
378124415,"MOTOR VEHICLE ACCIDENTS FATAL
",Sec.304(A) IPC,National Highways,252,Sep-21
891789526,"MOTOR VEHICLE ACCIDENTS FATAL
",Sec.304(A) IPC,State Highways,194,Sep-21
271647218,"MOTOR VEHICLE ACCIDENTS FATAL
",Sec.304(A) IPC,Other Roads,237,Sep-21
935340000,"MOTOR VEHICLE ACCIDENTS FATAL
",Sec.304(A) IPC,Other Places,10,Sep-21
377550139,"MOTOR VEHICLE ACCIDENTS NON-FATAL
","Sec.279, 337, 338 IPC",Others,nan,Sep-21
963945980,"MOTOR VEHICLE ACCIDENTS NON-FATAL
","Sec.279, 337, 338 IPC",National Highways,722,Sep-21
221263489,"MOTOR VEHICLE ACCIDENTS NON-FATAL
","Sec.279, 337, 338 IPC",State Highways,502,Sep-21
224463217,"MOTOR VEHICLE ACCIDENTS NON-FATAL
","Sec.279, 337, 338 IPC",Other Roads,920,Sep-21
283067028,"MOTOR VEHICLE ACCIDENTS NON-FATAL
","Sec.279, 337, 338 IPC",Other Places,43,Sep-21
752943868,DEATHS-MISCARRIAGE ,"Sec.312, 313, 314 IPC",Others,nan,Sep-21
984074727,DEATHS-MISCARRIAGE ,"Sec.312, 313, 314 IPC",Child,0,Sep-21
998448733,DEATHS-MISCARRIAGE ,"Sec.312, 313, 314 IPC",Woman,1,Sep-21
541478345,DEATHS-MISCARRIAGE ,"Sec.312, 313, 314 IPC",Women and Child,0,Sep-21
127457703,DEFENCE FORCES OFFENCES RELATING ,"also
relating to desertion) (Sec.131 to 140, except
136 IPC",Others,nan,Sep-21
282462816,DEFENCE FORCES OFFENCES RELATING ,"also
relating to desertion) (Sec.131 to 140, except
136 IPC",Air Force,0,Sep-21
457761755,DEFENCE FORCES OFFENCES RELATING ,"also
relating to desertion) (Sec.131 to 140, except
136 IPC",Army,0,Sep-21
414492156,DEFENCE FORCES OFFENCES RELATING ,"also
relating to desertion) (Sec.131 to 140, except
136 IPC",Navy,0,Sep-21
827118215,"ESCAPE FROM LAWFUL CUSTODY AND
RESISTANCE ","Sec.224, 225, 225(B) IPC",Others,nan,Sep-21
383430946,"ESCAPE FROM LAWFUL CUSTODY AND
RESISTANCE ","Sec.224, 225, 225(B) IPC",From Jail Custody,1,Sep-21
712021571,"ESCAPE FROM LAWFUL CUSTODY AND
RESISTANCE ","Sec.224, 225, 225(B) IPC",From Police Custody,2,Sep-21
614066671,"ESCAPE FROM LAWFUL CUSTODY AND
RESISTANCE ","Sec.224, 225, 225(B) IPC",Others,0,Sep-21
493565217,IMPERSONATION ,"Sec.170, 171 IPC",Others,nan,Sep-21
907424413,IMPERSONATION ,"Sec.170, 171 IPC",Attempt to Commit,0,Sep-21
304577115,IMPERSONATION ,"Sec.170, 171 IPC",Non-Uniformed Authority,0,Sep-21
961388250,IMPERSONATION ,"Sec.170, 171 IPC",Uniformed Authority,0,Sep-21
888143342,MISCHIEF ,"Sec.427 to 440 except 434, 435,
436, 438 IPC",Others,46,Sep-21
701009452,MOLESTATION ,Sec.354 IPC,Others,nan,Sep-21
337192797,MOLESTATION ,Sec.354 IPC,Attempt to Commit,10,Sep-21
961515875,MOLESTATION ,Sec.354 IPC,Private Place,77,Sep-21
863687280,MOLESTATION ,Sec.354 IPC,Public Conveyance,1,Sep-21
777090141,MOLESTATION ,Sec.354 IPC,Public Place,153,Sep-21
498018975,MOLESTATION ,Sec.354 IPC,Other Places,198,Sep-21
771239252,POISONING-PROFESSIONAL ,Sec. 328 IPC,Others,nan,Sep-21
271678540,POISONING-PROFESSIONAL ,Sec. 328 IPC,Attempt to Commit,1,Sep-21
997263174,POISONING-PROFESSIONAL ,Sec. 328 IPC,Fatal,0,Sep-21
963150728,POISONING-PROFESSIONAL ,Sec. 328 IPC,Non Fatal,0,Sep-21
939451273,PORNOGRAPHY ,Sec.292 to 294 IPC,Others,0,Sep-21
442903332,PORNOGRAPHY ,Sec.292 to 294 IPC,Advertisement,0,Sep-21
209516097,PORNOGRAPHY ,Sec.292 to 294 IPC,Audio Tape,0,Sep-21
487007377,PORNOGRAPHY ,Sec.292 to 294 IPC,Book,0,Sep-21
435848604,PORNOGRAPHY ,Sec.292 to 294 IPC,Computer Software,0,Sep-21
392635285,PORNOGRAPHY ,Sec.292 to 294 IPC,Figures,0,Sep-21
670014262,PORNOGRAPHY ,Sec.292 to 294 IPC,Film (Blue),0,Sep-21
424198668,PORNOGRAPHY ,Sec.292 to 294 IPC,Painting,0,Sep-21
844713117,PORNOGRAPHY ,Sec.292 to 294 IPC,Pamphlet,0,Sep-21
977873422,PORNOGRAPHY ,Sec.292 to 294 IPC,Paper,0,Sep-21
781194249,PORNOGRAPHY ,Sec.292 to 294 IPC,Photography,0,Sep-21
710202223,PORNOGRAPHY ,Sec.292 to 294 IPC,Poster,0,Sep-21
983450215,PORNOGRAPHY ,Sec.292 to 294 IPC,Video Film(Blue),0,Sep-21
887637416,PUBLIC JUSTICE ,Sec.213 to 215 IPC,Others,0,Sep-21
131660895,PUBLIC NUISANCE ,Sec.291 and 510 IPC,Others,7,Sep-21
175658102,PUBLIC SAFETY ,"Sec.269 to 271, 277, 283, 289
IPC",Others,211,Sep-21
321900418,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Others,nan,Sep-21
497003387,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Attempt to Commit,1,Sep-21
348111210,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Defence Personnel,0,Sep-21
559335485,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Jail Personnel,0,Sep-21
448202906,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Judicial Official,0,Sep-21
270778777,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Minister,0,Sep-21
230742907,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",MLA,0,Sep-21
390088051,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",MP,0,Sep-21
534550642,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Nationalised Bank Personnel,0,Sep-21
536297977,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Other Elected Member,0,Sep-21
560612955,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Other Enforcement Official,2,Sep-21
372120426,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Other Govt. Official,47,Sep-21
534473042,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Para Military Personnel,1,Sep-21
705260187,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Police Personnel,40,Sep-21
406162911,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Public Sector Undertaking Official,9,Sep-21
367144297,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Others,nan,Sep-21
225527653,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Defence Personnel,0,Sep-21
471712831,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Jail Personnel,0,Sep-21
861441677,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Judicial Official,0,Sep-21
719390970,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Minister,0,Sep-21
850290025,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",MLA,0,Sep-21
479345189,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",MP,0,Sep-21
570683491,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Nationalised Bank Personnel,0,Sep-21
793131343,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Other Elected Member,0,Sep-21
998331528,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Other Enforcement Official,0,Sep-21
604724001,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Other Govt. Official,0,Sep-21
981179753,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Para Military Personnel,0,Sep-21
404780808,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Police Personnel,0,Sep-21
628688223,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Public Sector Undertaking Official,0,Sep-21
252937825,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Others,0,Sep-21
283836721,NEGLIGENT ACT ,"Sec.280 to 289, 336 to 338
except 283 IPC",Others,nan,Sep-21
813849748,NEGLIGENT ACT ,"Sec.280 to 289, 336 to 338
except 283 IPC",Animal -Related,7,Sep-21
482042961,NEGLIGENT ACT ,"Sec.280 to 289, 336 to 338
except 283 IPC",Boat/Vessel - Related,0,Sep-21
944239813,NEGLIGENT ACT ,"Sec.280 to 289, 336 to 338
except 283 IPC",Explosive/Explosive Substances - Related,1,Sep-21
228734784,NEGLIGENT ACT ,"Sec.280 to 289, 336 to 338
except 283 IPC",Inflammable Substance- Related,2,Sep-21
695293054,NEGLIGENT ACT ,"Sec.280 to 289, 336 to 338
except 283 IPC",Machinery - Related,7,Sep-21
561622120,NEGLIGENT ACT ,"Sec.280 to 289, 336 to 338
except 283 IPC",Poisonous Substance - Related,3,Sep-21
302715532,NEGLIGENT ACT ,"Sec.280 to 289, 336 to 338
except 283 IPC",Other - Related,79,Sep-21
197857568,NEGLIGENT ACT ,"Sec.280 to 289, 336 to 338
except 283 IPC",Human - Related,42,Sep-21
792424960,RECEIVING OF STOLEN PROPERTY ,"Sec.411 to
414 IPC",Others,0,Sep-21
909823529,SEDITION ,Sec. 124A IPC,Others,nan,Sep-21
870900139,SEDITION ,Sec. 124A IPC,Attempt to Commit,0,Sep-21
415229166,SEDITION ,Sec. 124A IPC,By Foreigner,0,Sep-21
159948858,SEDITION ,Sec. 124A IPC,By National,0,Sep-21
227906561,SEDITION ,Sec. 124A IPC,By National And Foreigner,0,Sep-21
814479030,INSULTING MODESTY OF WOMEN ,"EVE
TEASING) (Sec.509 IPC",Others,nan,Sep-21
